property,product_id,value
light_count,108592,5
light_count,108593,16
light_count,108596,1
light_count,108597,1
light_count,108600,18
light_count,108601,18
light_count,108605,19
light_count,108606,1
light_count,108607,9
light_count,108608,48
light_count,108609,75
light_count,108610,18
light_count,108611,18
light_count,108612,18
light_count,108613,18
light_count,108614,1
light_count,108615,54
light_count,108616,24
light_count,108617,1
light_count,108619,20
light_count,108622,4
light_count,108623,1
light_count,108624,1
light_count,108625,1
light_count,108626,1
light_count,108627,1
light_count,108628,1
light_count,108635,1
light_count,108715,960
light_count,108735,1
light_count,108736,1
light_count,108737,1
light_count,108738,1
light_count,108741,1
light_count,108742,1
light_count,108743,1
light_count,108744,1
light_count,108750,1
light_count,108751,1
light_count,108752,1
light_count,108753,1
light_count,108754,1
light_count,108755,1
light_count,108756,1
light_count,108757,1
light_count,108758,1
light_count,108759,1
light_count,108766,1
light_count,115457,7
light_count,140108,1
light_count,146876,1
light_count,148024,1
light_count,148025,19
light_count,148027,7
light_count,148028,10
light_count,148029,1
light_count,148030,1
light_count,148031,1
light_count,148032,1
light_count,148033,1
light_count,148034,1
light_count,148035,1
light_count,148036,1
light_count,148037,1
light_count,148038,1
light_count,148039,1
light_count,148040,1
light_count,148041,1
light_count,148042,1
light_count,148043,1
light_count,148044,1
light_count,148045,1
light_count,148046,1
light_count,148047,1
light_count,148048,1
light_count,148049,1
light_count,148050,1
light_count,148051,1
light_count,148052,1
light_count,148053,1
light_count,148054,1
light_count,159475,96
light_count,159476,144
light_count,168235,1
light_count,168838,1
light_count,168839,1
light_count,168840,1
light_count,168841,1
light_count,168842,1
light_count,168843,1
light_count,168844,1
light_count,168845,1
light_count,168846,1
light_count,169447,252
light_count,178077,9
light_count,178078,24
light_count,178079,12
light_count,178080,74
light_count,178081,624
light_count,178082,7
light_count,197351,1
light_count,197352,1
light_count,197355,42
light_count,197356,42
light_count,197358,4
light_count,197359,1
light_count,197360,1
light_count,201043,1
light_count,202879,1
light_count,203203,1
light_count,203204,1
light_count,203205,19
light_count,203206,1
light_count,203207,1
light_count,203209,9
light_count,203852,18
light_count,203853,54
light_count,203953,177
light_count,203954,4
light_count,204374,1
light_count,204375,18
light_count,204379,37
light_count,204778,1
light_count,204779,42
light_count,204781,42
light_count,204786,1
light_count,211994,6
light_count,212317,1
light_count,212318,1
light_count,212319,1
light_count,212320,1
light_count,212321,1
light_count,212322,1
light_count,212323,1
light_count,212324,1
light_count,212869,1
light_count,212870,7
light_count,212871,7
light_count,212992,19
light_count,212993,19
light_count,212994,1
light_count,212995,1
light_count,212996,1
light_count,212997,12
light_count,213036,1
light_count,213037,1
light_count,213038,1
light_count,213039,1
light_count,213040,1
light_count,213041,1
light_count,213042,217
light_count,213164,1
light_count,213485,1
light_count,213820,7
light_count,213822,1
light_count,213823,1
light_count,213897,1
light_count,213998,1
light_count,213999,1
light_count,214000,1
light_count,214001,1
light_count,214002,1
light_count,214005,1
light_count,214047,1
light_count,215495,1
light_count,215634,19
light_count,215635,19
light_count,215674,37
light_count,215677,37
light_count,215714,91
light_count,215750,40
light_count,215785,1
light_count,215786,1
light_count,216184,130
light_count,216243,1
light_count,216274,42
light_count,216423,600
light_count,216434,1
light_count,216435,1
light_count,216436,1
light_count,216437,1
light_count,216438,1
light_count,216439,1
light_count,216441,1
light_count,216479,1
light_count,216480,1
light_count,216482,1
light_count,216483,1
light_count,216691,7
light_count,216692,32
light_count,216693,17
light_count,216694,7
light_count,216695,7
light_count,216704,1
light_count,216705,1
light_count,216720,1
light_count,216731,1
light_count,216733,1
light_count,216734,14
light_count,216736,1
light_count,216737,1
light_count,216738,1
